ID,Question(English),Choice1,Choice2,Choice3,Choice4,CorrectOption
1,stay up late,見てみる・チェックする,（用紙に）書き込む,夜更かしする,〜に頼る・依存する,3
2,go back,戻る,〜とうまくやる,話す,〜に頼る・依存する,1
3,wash,洗う,見る（じっと）,確認する,遊ぶ・ぶらぶらする,1
4,watch,理解する,見る（じっと）,終える,脱ぐ・離陸する,2
5,spend,シャットダウンする,うまくいく・解決する,戻る,（時間・お金を）使う,4
6,agree with,欲しいと思う,立ち寄る,提出する,〜に同意する,4
7,know,勉強する,登録する,知っている,見る,3
8,pick someone up,〜を迎えに行く,〜とうまくやる,話す（言語）,〜を心配する,1
9,tell,脱ぐ・離陸する,見つける,伝える,節約する・保存する,3
10,go to bed,〜を迎えに行く,食べる,シャットダウンする,寝る,4
11,live,使う,住む,落ち着く,戻る,2
12,belong to,乗り込む・入る,〜に所属する,見てみる・チェックする,見る（じっと）,2
13,drop someone off,〜を降ろす,拾う・迎えに行く,試す,手に入れる,1
14,wait,〜を起こす,寝る,乗り込む・入る,待つ,4
15,get tired,シャットダウンする,〜について考える,来る,疲れる,4
16,eat,来る,〜に所属する,食べる,聞く,3
17,grow up,早起きする,忘れる,〜とうまくやる,成長する,4
18,wake someone up,早起きする,〜を起こす,伝える,売る,2
19,try,拾う・迎えに行く,待つ,与える,試す,4
20,run into,言う,偶然出会う,聞く,音量を下げる・断る,2
21,know,知っている,成長する,話す（言語）,売る,1
22,meet,見る,チェックインする,聞く,会う,4
23,log out,アプリにログインする,ログアウトする,開ける,提出する,2
24,go,乗り込む・入る,（用紙に）書き込む,行く,見てみる・チェックする,3
25,meet,会う,成長する,する,（電源を）消す,1
26,get off,疲れる,理解する,（電源を）つける,降りる,4
27,think about,理解する,元気づける,寝る,〜について考える,4
28,talk,話す,〜を心配する,洗う,使う,1
29,cook,料理する,〜について考える,使う,中止する,1
30,take a break,降りる,休憩する,在宅勤務をする,旅行する,2
31,open up,打ち明ける,尋ねる,待つ,延期する,1
32,feel sick,うまくいく・解決する,会う,気分が悪い,脱ぐ・離陸する,3
33,look,見る,尋ねる,〜に同意する,〜を迎えに行く,1
34,see,座る,わかる・見つけ出す,電話する,見る,4
35,work from home,在宅勤務をする,洗う,世話をする,早起きする,1
36,work out,見る,うまくいく・解決する,準備をする,登録する,2
37,hear,聞こえる,休憩する,現れる・音量を上げる,配る,1
